Tail Number	Serial Number	Manufacturer name	Model	Type Aircraft	Pending Number Change	Date Change Authorized	MFR Year	Type Registration	Certificate Issue Date	Expiration Date	Type Engine	Dealer	Mode S Code (base 8)	Fractional Owner	Engine Manufacturer	Engine Model	A/W Date	Airworthiness Classification	Airworthiness Category	Exception Code
N346NB	1796	AIRBUS	A319-114	Fixed Wing Multi-Engine	None	None	2002	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	50752306	NO	CFM INTL.	CFM56 SERIES	09/19/2002	Standard	Transport	No
N347	2091	GLOBE	GC-1B	Fixed Wing Single-Engine	None	None	1946	Individual	04/09/2010	02/29/2020	Reciprocating	No	50753516	NO	CONT MOTOR	C125 SERIES	12/31/1955	Standard	None	No
N347AA	760287	SIKORSKY	S-76A	Rotorcraft	None	None	1985	Corporation	06/20/2018	06/30/2021	Turbo-shaft	No	50753520	NO	TURBOMECA	ARRIEL 1S	05/16/2008	Standard	Transport	No
N347NB	1800	AIRBUS	A319-114	Fixed Wing Multi-Engine	None	None	2002	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	50754175	NO	CFM INTL.	CFM56 SERIES	09/19/2002	Standard	Transport	No
N347NW	408	AIRBUS INDUSTRIE	A320-212	Fixed Wing Multi-Engine	None	None	1993	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	50754220	NO	CFM INTL.	CFM56 SERIES	10/31/1996	Standard	Transport	No
N347UA	042-010001-11	LARRY A FRENCH	SEAHUNTER	Fixed Wing Multi-Engine	None	None	None	Government	12/29/2016	12/31/2019	2 Cycle	No	50754422	NO	Unknown	Unknown	None	Unknown	None	No
N348	1000824D	HUGHES	369D	Rotorcraft	None	None	1980	Corporation	07/29/1994	03/31/2021	Turbo-shaft	No	50755405	NO	ALLISON	250 SER 250HP	10/25/1980	Standard	Normal	No
N348JB	19000511	EMBRAER	ERJ 190-100 IGW	Fixed Wing Multi-Engine	None	None	2012	Corporation	02/03/2012	02/28/2021	Turbo-fan	No	50755720	NO	GE	CF34-10E6	02/06/2012	Standard	Transport	Yes
N348NB	1810	AIRBUS	A319-114	Fixed Wing Multi-Engine	None	None	2002	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	50756064	NO	CFM INTL.	CFM56 SERIES	10/08/2002	Standard	Transport	No
N348NW	410	AIRBUS INDUSTRIE	A320-212	Fixed Wing Multi-Engine	None	None	1993	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	50756107	NO	CFM INTL.	CFM56 SERIES	07/09/1996	Standard	Transport	No
N349	101	CASSIDY RONALD	1284D	Balloon	None	None	2008	Corporation	04/27/2009	01/31/2020	None	No	50757274	NO	NONE	NONE	02/06/2009	Experimental	Amateur Built	No
N349NB	1815	AIRBUS	A319-114	Fixed Wing Multi-Engine	None	None	2002	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	50757753	NO	CFM INTL.	CFM56 SERIES	10/28/2002	Standard	Transport	No
N349NW	417	AIRBUS INDUSTRIE	A320-212	Fixed Wing Multi-Engine	None	None	1993	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	50757776	NO	GE	CFM56 SERIES	06/09/1993	Standard	Transport	No
N350NA	418	AIRBUS INDUSTRIE	A320-212	Fixed Wing Multi-Engine	None	None	1993	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	50762772	NO	CFM INTL.	CFM56 SERIES	11/03/1996	Standard	Transport	No
N350UA	P76DCG14010762	DJI	PHANTOM 3 ADVANCED	Rotorcraft	None	None	None	Individual	10/07/2015	10/31/2021	Electric	No	50763220	NO	Unknown	Unknown	None	Unknown	None	No
N351JB	19000549	EMBRAER	ERJ 190-100 IGW	Fixed Wing Multi-Engine	None	None	2012	Corporation	06/25/2012	06/30/2021	Turbo-fan	No	50764516	NO	GE	CF34-10E6	06/26/2012	Standard	Transport	Yes
N351NB	1820	AIRBUS	A319-114	Fixed Wing Multi-Engine	None	None	2002	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	50764662	NO	CFM INTL.	CFM56 SERIES	11/20/2002	Standard	Transport	No
N351NW	766	AIRBUS INDUSTRIE	A320-212	Fixed Wing Multi-Engine	None	None	1997	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	50764705	NO	CFM INTL.	CFM56 SERIES	02/17/1998	Standard	Transport	No
N35204	30576	BOEING	737-824	Fixed Wing Multi-Engine	None	None	2000	Corporation	07/17/2000	11/30/2020	Turbo-fan	No	50767260	NO	CFM INTL.	CFM56 SERIES	07/13/2000	Standard	Transport	Yes
N35236	28801	BOEING	737-824	Fixed Wing Multi-Engine	None	None	1999	Corporation	09/13/1999	04/30/2021	Turbo-fan	No	50767433	NO	CFM INTL.	CFM56 SERIES	09/09/1999	Standard	Transport	Yes
N35260	30855	BOEING	737-824	Fixed Wing Multi-Engine	None	None	2001	Corporation	06/11/2001	08/31/2020	Turbo-fan	No	50767576	NO	CFM INTL.	CFM56 SERIES	06/07/2001	Standard	Transport	Yes
N35271	31589	BOEING	737-824	Fixed Wing Multi-Engine	None	None	2001	Corporation	11/02/2001	10/31/2021	Turbo-fan	No	50767642	NO	CFM INTL.	CFM56 SERIES	10/18/2001	Standard	Transport	Yes
N352AA	24033	BOEING	767-323	Fixed Wing Multi-Engine	None	None	1988	Corporation	07/21/2016	07/31/2019	Turbo-fan	No	50766074	NO	GE	CF6-80 SERIES	03/10/1988	Standard	Transport	No
N352NB	1824	AIRBUS	A319-114	Fixed Wing Multi-Engine	None	None	2002	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	50766551	NO	CFM INTL.	CFM56 SERIES	11/20/2002	Standard	Transport	No
N352NW	778	AIRBUS INDUSTRIE	A320-212	Fixed Wing Multi-Engine	None	None	1998	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	50766574	NO	CFM INTL.	CFM56 SERIES	03/16/1998	Standard	Transport	No
N352SW	24888	BOEING	737-3H4	Fixed Wing Multi-Engine	None	None	1990	Corporation	11/28/1990	11/30/2021	Turbo-fan	No	50766740	NO	GE	CFM56 SERIES	11/06/1990	Standard	Transport	No
N353	AT-7	TOLLE ALAN E	VENTURE MODEL 20	Fixed Wing Single-Engine	None	None	1999	Individual	03/14/2017	03/31/2020	Reciprocating	No	50767761	NO	CONT MOTOR	IO-550 SERIES	01/18/2000	Experimental	Amateur Built	No
N353JB	19000576	EMBRAER	ERJ 190-100 IGW	Fixed Wing Multi-Engine	None	None	2012	Corporation	10/22/2012	10/31/2021	Turbo-fan	No	50770274	NO	GE	CF34-10E6	10/23/2012	Standard	Transport	Yes
N353NB	1828	AIRBUS	A319-114	Fixed Wing Multi-Engine	None	None	2002	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	50770440	NO	CFM INTL.	CFM56 SERIES	11/20/2002	Standard	Transport	No
