Tail Number	Serial Number	Manufacturer name	Model	Type Aircraft	Pending Number Change	Date Change Authorized	MFR Year	Type Registration	Certificate Issue Date	Expiration Date	Type Engine	Dealer	Mode S Code (base 8)	Fractional Owner	Engine Manufacturer	Engine Model	A/W Date	Airworthiness Classification	Airworthiness Category	Exception Code
N794SW	30605	BOEING	737-7H4	Fixed Wing Multi-Engine	None	None	2001	Corporation	02/26/2001	09/30/2019	Turbo-fan	No	52544206	NO	CFM INTL.	CFM56 SERIES	01/12/2001	Standard	Transport	Yes
N794UA	26953	BOEING	777-222	Fixed Wing Multi-Engine	None	None	1997	Corporation	04/01/2013	04/30/2019	Turbo-fan	No	52544244	NO	P & W	PW4090-3	04/20/2010	Experimental	To show compliance with FAR	Yes
N79521	31662	BOEING	737-824	Fixed Wing Multi-Engine	None	None	2010	Corporation	08/16/2010	01/31/2021	Turbo-fan	No	52546520	NO	CFM INTL	CFM56-7B26/3	08/13/2010	Standard	Transport	No
N795AA	CD-29	BEECH	35-33	Fixed Wing Single-Engine	None	None	1959	Co-Owned	03/06/2018	03/31/2021	Reciprocating	No	52545231	NO	CONT MOTOR	I0-470 SERIES	03/31/1961	Standard	None	No
N795SK	10299	BOMBARDIER INC	CL-600-2C10	Fixed Wing Multi-Engine	None	None	2010	Corporation	02/01/2010	12/31/2019	Turbo-fan	No	52546062	NO	GE	CF34-8C5B1	01/01/2010	Standard	Transport	No
N795SW	30606	BOEING	737-7H4	Fixed Wing Multi-Engine	None	None	2001	Corporation	03/23/2001	12/31/2019	Turbo-fan	No	52546075	NO	CFM INTL.	CFM56 SERIES	02/22/2001	Standard	Transport	Yes
N795UA	26927	BOEING	777-222	Fixed Wing Multi-Engine	None	None	1997	Corporation	04/01/2013	04/30/2019	Turbo-fan	No	52546133	NO	P&W	PW4000 SER	12/09/1997	Standard	Transport	Yes
N796	50	FOUND ACFT CANADA INC	FBA-2C1	Fixed Wing Single-Engine	None	None	2004	Government	03/16/2005	01/31/2020	Reciprocating	No	52547116	NO	LYCOMING	IO-540-L1C5	10/03/2014	Standard-Restricted	Other	No
N796AA	27-7854036	PIPER	PA-23-250	Fixed Wing Multi-Engine	None	None	1977	Corporation	09/24/2018	09/30/2021	Reciprocating	No	52547120	NO	LYCOMING	IO-540 SER	12/13/1977	Standard	Normal	No
N796JB	5060	AIRBUS	A320-232	Fixed Wing Multi-Engine	None	None	2012	Corporation	03/14/2012	03/31/2021	Turbo-fan	No	52547431	NO	IAE	V2527-A5	03/15/2012	Standard	Normal	No
N796SK	10300	BOMBARDIER INC	CL-600-2C10	Fixed Wing Multi-Engine	None	None	2010	Corporation	01/22/2010	04/30/2019	Turbo-fan	No	52547751	NO	GE	CF34-8C5B1	01/22/2010	Standard	Transport	No
N796SW	27889	BOEING	737-7H4	Fixed Wing Multi-Engine	None	None	2001	Corporation	04/11/2001	03/31/2020	Turbo-fan	No	52547764	NO	CFM INTL.	CFM56 SERIES	02/26/2001	Standard	Transport	Yes
N796UA	26931	BOEING	777-222	Fixed Wing Multi-Engine	None	None	1998	Corporation	04/01/2013	04/30/2019	Turbo-fan	No	52550022	NO	P&W	PW4000 SER	01/27/1998	Standard	Transport	Yes
N797	13124	CESSNA	140	Fixed Wing Single-Engine	None	None	1947	Individual	06/13/2012	06/30/2021	Reciprocating	No	52551005	NO	CONT MOTOR	C85 SERIES	07/25/1955	Standard	None	No
N797AA	17	GROSS ROBERT	F1	Fixed Wing Single-Engine	None	None	2003	Individual	11/15/2002	02/28/2022	Reciprocating	No	52551007	NO	LYCOMING	IO-540 SER	05/29/2003	Experimental	Amateur Built	No
N797AS	28892	BOEING	737-490	Fixed Wing Multi-Engine	None	None	1998	Corporation	12/27/2017	12/31/2020	Turbo-fan	No	52551027	NO	CFM INTL.	CFM56 SERIES	06/08/1998	Standard	Transport	No
N797MX	27890	BOEING	737-7H4	Fixed Wing Multi-Engine	None	None	2001	Corporation	04/30/2001	03/31/2020	Turbo-fan	No	52551457	NO	CFM INTL.	CFM56 SERIES	03/22/2001	Standard	Transport	Yes
N797SK	10301	BOMBARDIER INC	CL-600-2C10	Fixed Wing Multi-Engine	None	None	2010	Corporation	02/01/2010	12/31/2019	Turbo-fan	No	52551640	NO	GE	CF34-8C5B1	02/05/2010	Standard	Transport	No
N797UA	26924	BOEING	777-222	Fixed Wing Multi-Engine	None	None	1998	Corporation	04/01/2013	04/30/2019	Turbo-fan	No	52551711	NO	P&W	PW4000 SER	02/19/1998	Standard	Transport	Yes
N798	33	FOUND ACFT CANADA INC	FBA-2C1	Fixed Wing Single-Engine	None	None	None	Government	08/12/2002	03/31/2021	Reciprocating	No	52552674	NO	Unknown	Unknown	None	Unknown	None	No
N798SW	28436	BOEING	737-7AD	Fixed Wing Multi-Engine	None	None	1998	Corporation	05/03/2000	06/30/2020	Turbo-fan	No	52553542	NO	AMA/EXPR	UNKNOWN ENG	05/13/1998	Standard	Transport	Yes
N798UA	26928	BOEING	777-222	Fixed Wing Multi-Engine	None	None	1998	Corporation	04/01/2013	04/30/2019	Turbo-fan	No	52553600	NO	P&W	PW4000 SER	02/27/1998	Standard	Transport	Yes
N799AS	29270	BOEING	737-490	Fixed Wing Multi-Engine	None	None	1998	Corporation	05/17/2018	05/31/2021	Turbo-fan	No	52554605	NO	CFM INTL.	CFM56 SERIES	06/05/1998	Standard	Transport	No
N799SW	28209	BOEING	737-7Q8	Fixed Wing Multi-Engine	None	None	None	Corporation	02/15/2017	02/29/2020	Turbo-fan	No	52555431	NO	Unknown	Unknown	None	Unknown	None	No
N799UA	26926	BOEING	777-222	Fixed Wing Multi-Engine	None	None	1998	Corporation	04/01/2013	04/30/2019	Turbo-fan	No	52555467	NO	P&W	PW4000 SER	05/05/1998	Standard	Transport	Yes
N80	FF-15	BEECH	300	Fixed Wing Multi-Engine	None	None	1988	Government	10/26/1988	10/31/2021	Turbo-prop	No	52557603	NO	P&W CANADA	PT6A-6 SERIES	01/07/2005	Standard	Normal	No
N800SK	15060	BOMBARDIER INC	CL-600-2D24	Fixed Wing Multi-Engine	None	None	2006	Corporation	01/26/2007	05/31/2019	Turbo-fan	No	52561567	NO	GE	CF34-8C5	06/28/2006	Standard	Transport	Yes
N801AW	0889	AIRBUS INDUSTRIE	A319-132	Fixed Wing Multi-Engine	None	None	1998	Corporation	10/01/2004	08/31/2021	Turbo-jet	No	52562651	NO	IAE	V2500SERIES	10/20/1998	Standard	Transport	No
N801DZ	31912	BOEING	737-932ER	Fixed Wing Multi-Engine	None	None	2013	Corporation	10/17/2013	10/31/2019	Turbo-fan	No	52562767	NO	CFM INTL	CFM56-7B27E	09/27/2013	Standard	Transport	Yes
N801NW	0524	AIRBUS	A330-323	Fixed Wing Multi-Engine	None	None	2003	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	52563325	NO	P&W	PW4000 SER	09/30/2003	Standard	Transport	Yes
N801UA	686	AIRBUS INDUSTRIE	A319-131	Fixed Wing Multi-Engine	None	None	1997	Corporation	04/01/2013	04/30/2019	Turbo-jet	No	52563527	NO	IAE	V2500SERIES	07/07/1997	Standard	Transport	No
N802AW	0924	AIRBUS INDUSTRIE	A319-132	Fixed Wing Multi-Engine	None	None	1998	Corporation	10/01/2004	08/31/2021	Turbo-jet	No	52564540	NO	IAE	V2500SERIES	01/04/1999	Standard	Transport	No
N802DN	31917	BOEING	737-932ER	Fixed Wing Multi-Engine	None	None	2013	Corporation	10/21/2013	10/31/2019	Turbo-fan	No	52564643	NO	CFM INTL	CFM56-7B27E	10/03/2013	Standard	Transport	Yes
N802NW	0533	AIRBUS	A330-323	Fixed Wing Multi-Engine	None	None	2003	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	52565214	NO	P&W	PW4000 SER	08/07/2003	Standard	Transport	Yes
N802SK	15061	BOMBARDIER INC	CL-600-2D24	Fixed Wing Multi-Engine	None	None	2006	Corporation	07/19/2018	07/31/2021	Turbo-fan	No	52565345	NO	GE	CF34-8C5	06/28/2006	Standard	Transport	Yes
N802UA	690	AIRBUS INDUSTRIE	A319-131	Fixed Wing Multi-Engine	None	None	1997	Corporation	04/01/2013	04/30/2019	Turbo-jet	No	52565416	NO	IAE	V2500SERIES	07/07/1997	Standard	Transport	No
N803AW	0931	AIRBUS INDUSTRIE	A319-132	Fixed Wing Multi-Engine	None	None	1998	Corporation	10/14/2004	08/31/2021	Turbo-jet	No	52566427	NO	IAE	V2500SERIES	01/04/1999	Standard	Transport	No
N803DN	31919	BOEING	737-932ER	Fixed Wing Multi-Engine	None	None	2013	Corporation	10/18/2013	10/31/2019	Turbo-fan	No	52566532	NO	CFM INTL	CFM56-7B27E	10/10/2013	Standard	Transport	Yes
N803NW	0542	AIRBUS	A330-323	Fixed Wing Multi-Engine	None	None	2003	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	52567103	NO	P&W	PW4000 SER	12/09/2003	Standard	Transport	Yes
N803SK	15062	BOMBARDIER INC	CL-600-2D24	Fixed Wing Multi-Engine	None	None	2006	Corporation	07/19/2018	07/31/2021	Turbo-fan	No	52567234	NO	GE	CF34-8C5	08/18/2006	Standard	Transport	Yes
N803UA	0748	AIRBUS INDUSTRIE	A319-131	Fixed Wing Multi-Engine	None	None	1997	Corporation	04/01/2013	04/30/2019	Turbo-jet	No	52567305	NO	IAE	V2500SERIES	12/15/1997	Standard	Transport	No
N804AW	1043	AIRBUS INDUSTRIE	A319-132	Fixed Wing Multi-Engine	None	None	1999	Corporation	10/14/2004	08/31/2021	Turbo-jet	No	52570316	NO	IAE	V2500SERIES	08/30/1999	Standard	Transport	No
N804DN	31918	BOEING	737-932ER	Fixed Wing Multi-Engine	None	None	2013	Corporation	10/23/2013	10/31/2019	Turbo-fan	No	52570421	NO	CFM INTL	CFM56-7B27E	10/17/2013	Standard	Transport	Yes
N804JB	5142	AIRBUS	A320-232	Fixed Wing Multi-Engine	None	None	2012	Corporation	05/16/2012	05/31/2021	Turbo-fan	No	52570603	NO	IAE	V2527-A5	05/17/2012	Standard	Transport	No
N804NW	0549	AIRBUS	A330-323	Fixed Wing Multi-Engine	None	None	2003	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	52570772	NO	P&W	PW4000 SER	12/09/2003	Standard	Transport	Yes
N804SK	15067	BOMBARDIER INC	CL-600-2D24	Fixed Wing Multi-Engine	None	None	2006	Corporation	07/18/2018	07/31/2021	Turbo-fan	No	52571123	NO	GE	CF34-8C5	09/08/2006	Standard	Transport	Yes
N804UA	0759	AIRBUS INDUSTRIE	A319-131	Fixed Wing Multi-Engine	None	None	1997	Corporation	04/01/2013	04/30/2019	Turbo-jet	No	52571174	NO	IAE	V2500SERIES	02/17/1998	Standard	Transport	No
N805AW	1049	AIRBUS INDUSTRIE	A319-132	Fixed Wing Multi-Engine	None	None	1999	Corporation	10/21/2004	08/31/2021	Turbo-jet	No	52572205	NO	IAE	V2500SERIES	08/30/1999	Standard	Transport	No
N805DN	31913	BOEING	737-932ER	Fixed Wing Multi-Engine	None	None	2013	Corporation	11/01/2013	11/30/2019	Turbo-fan	No	52572310	NO	CFM INTL	CFM56-7B27/B1	10/31/2013	Standard	Transport	Yes
N805JB	5148	AIRBUS	A320-232	Fixed Wing Multi-Engine	None	None	2012	Corporation	06/08/2012	06/30/2021	Turbo-fan	No	52572472	NO	IAE	V2527-A5	06/09/2012	Standard	Transport	No
N805SK	15069	BOMBARDIER INC	CL-600-2D24	Fixed Wing Multi-Engine	None	None	2006	Corporation	07/19/2018	07/31/2021	Turbo-fan	No	52573012	NO	GE	CF34-8C5	09/21/2006	Standard	Transport	Yes
N805UA	0783	AIRBUS INDUSTRIE	A319-131	Fixed Wing Multi-Engine	None	None	1998	Corporation	04/01/2013	04/30/2019	Turbo-jet	No	52573063	NO	IAE	V2500SERIES	02/13/1998	Standard	Transport	No
N806AW	1056	AIRBUS INDUSTRIE	A319-132	Fixed Wing Multi-Engine	None	None	1999	Corporation	10/21/2004	08/31/2021	Turbo-jet	No	52574074	NO	IAE	V2500SERIES	08/30/1999	Standard	Transport	No
N806DE	55000029	EMBRAER SA	EMB-550	Fixed Wing Multi-Engine	None	None	2016	Corporation	05/19/2017	05/31/2020	Turbo-fan	No	52574167	NO	HONEYWELL	AS907-3-1E	09/13/2016	Standard	Transport	Yes
N806DN	31914	BOEING	737-932ER	Fixed Wing Multi-Engine	None	None	2013	Corporation	11/12/2013	11/30/2019	Turbo-fan	No	52574177	NO	CFM INTL	CFM56-7B27E	11/08/2013	Standard	Transport	Yes
N806JB	5302	AIRBUS	A320-232	Fixed Wing Multi-Engine	None	None	2012	Corporation	10/03/2012	10/31/2021	Turbo-fan	No	52574361	NO	IAE	V2527-A5	10/04/2012	Standard	Transport	No
N806NW	0578	AIRBUS	A330-323	Fixed Wing Multi-Engine	None	None	2004	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	52574550	NO	P&W	PW4000 SER	04/09/2004	Standard	Transport	No
N806SK	15070	BOMBARDIER INC	CL-600-2D24	Fixed Wing Multi-Engine	None	None	2006	Corporation	07/19/2018	07/31/2021	Turbo-fan	No	52574701	NO	GE	CF34-8C5	09/08/2006	Standard	Transport	Yes
N806UA	0788	AIRBUS INDUSTRIE	A319-131	Fixed Wing Multi-Engine	None	None	1998	Corporation	04/01/2013	04/30/2019	Turbo-jet	No	52574752	NO	IAE	V2500SERIES	03/16/1998	Standard	Transport	No
N807AW	1064	AIRBUS INDUSTRIE	A319-132	Fixed Wing Multi-Engine	None	None	1999	Corporation	10/28/2004	08/31/2021	Turbo-jet	No	52575763	NO	IAE	V2500SERIES	08/30/1999	Standard	Transport	No
N807DN	31921	BOEING	737-932ER	Fixed Wing Multi-Engine	None	None	2013	Corporation	11/14/2013	11/30/2019	Turbo-fan	No	52576066	NO	CFM INTL	CFM56-7B27E	11/14/2013	Standard	Transport	Yes
N807JB	5312	AIRBUS	A320-232	Fixed Wing Multi-Engine	None	None	2012	Corporation	10/17/2012	10/31/2021	Turbo-fan	No	52576250	NO	IAE	V2527-A5	10/18/2012	Standard	Transport	No
N807NW	0588	AIRBUS	A330-323	Fixed Wing Multi-Engine	None	None	2004	Corporation	12/31/2009	05/31/2019	Turbo-fan	No	52576437	NO	P&W	PW4000 SER	07/07/2004	Standard	Transport	Yes
N807SK	15082	BOMBARDIER INC	CL-600-2D24	Fixed Wing Multi-Engine	None	None	2006	Corporation	07/19/2018	07/31/2021	Turbo-fan	No	52576570	NO	GE	CF34-8C5	10/20/2006	Standard	Transport	Yes
N807UA	0798	AIRBUS INDUSTRIE	A319-131	Fixed Wing Multi-Engine	None	None	1998	Corporation	04/01/2013	04/30/2019	Turbo-jet	No	52576641	NO	IAE	V2500SERIES	04/14/1998	Standard	Transport	No
N808AW	1088	AIRBUS INDUSTRIE	A319-132	Fixed Wing Multi-Engine	None	None	1999	Corporation	10/28/2004	08/31/2021	Turbo-jet	No	52577652	NO	IAE	V2500SERIES	10/12/1999	Standard	Transport	No
N808DE	2354	CIRRUS DESIGN CORP	SR20	Fixed Wing Single-Engine	None	None	2017	Corporation	05/16/2017	05/31/2020	Reciprocating	No	52577745	NO	LYCOMING	IO-390 SER	04/28/2017	Standard	Normal	No
N808DN	31920	BOEING	737-932ER	Fixed Wing Multi-Engine	None	None	2013	Corporation	11/21/2013	11/30/2019	Turbo-fan	No	52577755	NO	CFM INTL	CFM56-7B27E	11/15/2013	Standard	Transport	Yes
N808NW	0591	AIRBUS	A330-323	Fixed Wing Multi-Engine	None	None	2004	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	52600326	NO	P&W	PW4000 SER	05/20/2004	Standard	Transport	Yes
N808UA	0804	AIRBUS INDUSTRIE	A319-131	Fixed Wing Multi-Engine	None	None	1998	Corporation	04/01/2013	04/30/2019	Turbo-jet	No	52600530	NO	IAE	V2500SERIES	04/14/1998	Standard	Transport	No
N809AW	1111	AIRBUS INDUSTRIE	A319-132	Fixed Wing Multi-Engine	None	None	1999	Corporation	11/02/2004	11/30/2021	Turbo-jet	No	52601541	NO	IAE	V2500SERIES	12/06/1999	Standard	Transport	No
N809CA	7366	BOMBARDIER INC	CL-600-2B19	Fixed Wing Multi-Engine	None	None	2000	Corporation	11/18/2016	11/30/2019	Turbo-fan	No	52601577	NO	GE	CF34 SERIES	02/04/2000	Standard	Transport	No
N809DN	31915	BOEING	737-932ER	Fixed Wing Multi-Engine	None	None	2013	Corporation	12/04/2013	12/31/2019	Turbo-fan	No	52601644	NO	CFM INTL	CFM56-7B27E	11/23/2013	Standard	Transport	Yes
N809JB	5349	AIRBUS	A320-232	Fixed Wing Multi-Engine	None	None	2012	Corporation	11/07/2012	11/30/2021	Turbo-fan	No	52602026	NO	IAE	V2527-A5	11/08/2012	Standard	Transport	No
N809NW	0663	AIRBUS	A330-323	Fixed Wing Multi-Engine	None	None	2005	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	52602215	NO	P&W	PW4000 SER	05/14/2005	Standard	Transport	No
N809SK	15086	BOMBARDIER INC	CL-600-2D24	Fixed Wing Multi-Engine	None	None	2006	Corporation	07/19/2018	07/31/2021	Turbo-fan	No	52602346	NO	GE	CF34-8C5	11/09/2006	Standard	Transport	Yes
N809UA	0825	AIRBUS INDUSTRIE	A319-131	Fixed Wing Multi-Engine	None	None	1998	Corporation	04/01/2013	04/30/2019	Turbo-jet	No	52602417	NO	IAE	V2500SERIES	06/12/1998	Standard	Transport	No
N81	FF-16	BEECH	300	Fixed Wing Multi-Engine	None	None	1988	Government	10/26/1988	10/31/2021	Turbo-prop	No	52603402	NO	P&W CANADA	PT6A-60A	11/28/1993	Standard	Normal	Yes
N810AW	1116	AIRBUS INDUSTRIE	A319-132	Fixed Wing Multi-Engine	None	None	1999	Corporation	11/02/2004	11/30/2021	Turbo-jet	No	52604561	NO	IAE	V2500SERIES	12/06/1999	Standard	Transport	No
N810DN	31922	BOEING	737-932ER	Fixed Wing Multi-Engine	None	None	2013	Corporation	12/09/2013	12/31/2019	Turbo-fan	No	52604664	NO	CFM INTL	CFM56-7B27E	12/02/2013	Standard	Transport	Yes
N810NW	0674	AIRBUS	A330-323	Fixed Wing Multi-Engine	None	None	2005	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	52605235	NO	P&W	PW4000 SER	06/22/2005	Standard	Transport	No
N810SK	15093	BOMBARDIER INC	CL-600-2D24	Fixed Wing Multi-Engine	None	None	2006	Corporation	07/19/2018	07/31/2021	Turbo-fan	No	52605366	NO	GE	CF34-8C5	11/16/2006	Standard	Transport	Yes
N810UA	0843	AIRBUS INDUSTRIE	A319-131	Fixed Wing Multi-Engine	None	None	1998	Corporation	04/01/2013	04/30/2019	Turbo-jet	No	52605437	NO	IAE	V2500SERIES	08/03/1998	Standard	Transport	No
N811DZ	31916	BOEING	737-932ER	Fixed Wing Multi-Engine	None	None	2013	Corporation	12/12/2013	12/31/2019	Turbo-fan	No	52606566	NO	CFM INTL	CFM56-7B27E	12/05/2013	Standard	Transport	Yes
N811NW	0690	AIRBUS	A330-323	Fixed Wing Multi-Engine	None	None	2005	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	52607124	NO	P&W	PW4000 SER	09/13/2005	Standard	Transport	No
N811UA	0847	AIRBUS INDUSTRIE	A319-131	Fixed Wing Multi-Engine	None	None	1998	Corporation	04/01/2013	04/30/2019	Turbo-jet	No	52607326	NO	IAE	V2500SERIES	08/03/1998	Standard	Transport	No
N812AW	1178	AIRBUS INDUSTRIE	A319-132	Fixed Wing Multi-Engine	None	None	2000	Corporation	11/10/2004	11/30/2021	Turbo-jet	No	52610337	NO	IAE	V2500SERIES	03/20/2000	Standard	Transport	No
N812DN	31923	BOEING	737-932ER	Fixed Wing Multi-Engine	None	None	2013	Corporation	12/12/2013	12/31/2019	Turbo-fan	No	52610442	NO	CFM INTL	CFM56-7B27E	12/12/2013	Standard	Transport	Yes
N812NW	0784	AIRBUS	A330-323	Fixed Wing Multi-Engine	None	None	2006	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	52611013	NO	P & W	PW4168A	10/27/2006	Standard	Transport	No
N812SK	15098	BOMBARDIER INC	CL-600-2D24	Fixed Wing Multi-Engine	None	None	2006	Corporation	01/05/2007	04/30/2019	Turbo-fan	No	52611144	NO	GE	CF34-8C5	01/05/2007	Standard	Transport	Yes
N812UA	0850	AIRBUS INDUSTRIE	A319-131	Fixed Wing Multi-Engine	None	None	1998	Corporation	04/01/2013	04/30/2019	Turbo-jet	No	52611215	NO	IAE	V2500SERIES	08/03/1998	Standard	Transport	No
N813AW	1223	AIRBUS INDUSTRIE	A319-132	Fixed Wing Multi-Engine	None	None	2000	Corporation	02/19/2013	02/28/2022	Turbo-jet	No	52612226	NO	IAE	V2500SERIES	07/05/2000	Standard	Transport	No
N813DN	31925	BOEING	737-932ER	Fixed Wing Multi-Engine	None	None	2014	Corporation	01/17/2014	01/31/2020	Turbo-fan	No	52612331	NO	CFM INTL	CFM56-7B27E	01/16/2014	Standard	Transport	Yes
N813SK	15099	BOMBARDIER INC	CL-600-2D24	Fixed Wing Multi-Engine	None	None	2006	Corporation	01/19/2007	04/30/2019	Turbo-fan	No	52613033	NO	GE	CF34-8C5	01/19/2007	Standard	Transport	Yes
N813UA	0858	AIRBUS INDUSTRIE	A319-131	Fixed Wing Multi-Engine	None	None	1998	Corporation	04/01/2013	04/30/2019	Turbo-jet	No	52613104	NO	IAE	V2500SERIES	08/03/1998	Standard	Transport	No
N81449	31651	BOEING	737-924ER	Fixed Wing Multi-Engine	None	None	2012	Corporation	03/28/2012	03/31/2021	Turbo-fan	No	52615476	NO	CFM INTL	CFM56-7B26E	03/25/2012	Standard	Transport	Yes
N814AW	1281	AIRBUS INDUSTRIE	A319-132	Fixed Wing Multi-Engine	None	None	2000	Corporation	02/20/2013	02/28/2022	Turbo-jet	No	52614115	NO	IAE	V2500SERIES	09/05/2000	Standard	Transport	No
N814DN	31924	BOEING	737-932ER	Fixed Wing Multi-Engine	None	None	2014	Corporation	01/16/2014	01/31/2020	Turbo-fan	No	52614220	NO	CFM INTL	CFM56-7B27E	01/13/2014	Standard	Transport	Yes
N814NW	0806	AIRBUS	A330-323	Fixed Wing Multi-Engine	None	None	2006	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	52614571	NO	P & W	PW4168A	01/18/2007	Standard	Transport	No
N814SK	15100	BOMBARDIER INC	CL-600-2D24	Fixed Wing Multi-Engine	None	None	2006	Corporation	07/18/2018	07/31/2021	Turbo-fan	No	52614722	NO	GE	CF34-8C5	02/08/2007	Standard	Transport	Yes
N814UA	0862	AIRBUS INDUSTRIE	A319-131	Fixed Wing Multi-Engine	None	None	1998	Corporation	04/01/2013	04/30/2019	Turbo-jet	No	52614773	NO	IAE	V2500SERIES	08/24/1998	Standard	Transport	No
N815AW	1323	AIRBUS INDUSTRIE	A319-132	Fixed Wing Multi-Engine	None	None	2000	Corporation	11/10/2004	11/30/2021	Turbo-jet	No	52616004	NO	IAE	V2500SERIES	10/16/2000	Standard	Transport	No
N815DN	31926	BOEING	737-932ER	Fixed Wing Multi-Engine	None	None	2014	Corporation	02/07/2014	02/29/2020	Turbo-fan	No	52616107	NO	CFM INTL	CFM56-7B27E	02/05/2014	Standard	Transport	Yes
N815NW	0817	AIRBUS	A330-323	Fixed Wing Multi-Engine	None	None	2007	Corporation	12/31/2009	05/31/2019	Turbo-fan	No	52616460	NO	P & W	PW4168A	02/23/2007	Standard	Transport	Yes
N815SK	15101	BOMBARDIER INC	CL-600-2D24	Fixed Wing Multi-Engine	None	None	2006	Corporation	02/22/2007	12/31/2019	Turbo-fan	No	52616611	NO	GE	CF34-8C5	02/22/2007	Standard	Transport	Yes
N815UA	0867	AIRBUS INDUSTRIE	A319-131	Fixed Wing Multi-Engine	None	None	1998	Corporation	04/01/2013	04/30/2019	Turbo-jet	No	52616662	NO	IAE	V2500SERIES	08/24/1998	Standard	Transport	No
N816AW	1350	AIRBUS INDUSTRIE	A319-132	Fixed Wing Multi-Engine	None	None	2000	Corporation	11/17/2004	11/30/2021	Turbo-jet	No	52617673	NO	IAE	V2500SERIES	11/06/2000	Standard	Transport	No
N816DN	31927	BOEING	737-932ER	Fixed Wing Multi-Engine	None	None	2014	Corporation	02/20/2014	02/29/2020	Turbo-fan	No	52617776	NO	CFM INTL	CFM56-7B27E	02/18/2014	Standard	Transport	Yes
N816NW	0827	AIRBUS	A330-323	Fixed Wing Multi-Engine	None	None	2007	Corporation	12/31/2009	05/31/2019	Turbo-fan	No	52620347	NO	P & W	PW4168A	04/06/2007	Standard	Transport	Yes
N816SK	15105	BOMBARDIER INC	CL-600-2D24	Fixed Wing Multi-Engine	None	None	2006	Corporation	03/08/2007	11/30/2019	Turbo-fan	No	52620500	NO	GE	CF34-8C5	03/08/2007	Standard	Transport	Yes
N816UA	0871	AIRBUS INDUSTRIE	A319-131	Fixed Wing Multi-Engine	None	None	1998	Corporation	04/01/2013	04/30/2019	Turbo-jet	No	52620551	NO	IAE	V2500SERIES	09/28/1998	Standard	Transport	No
N817AW	1373	AIRBUS INDUSTRIE	A319-132	Fixed Wing Multi-Engine	None	None	2000	Corporation	11/17/2004	11/30/2021	Turbo-jet	No	52621562	NO	IAE	V2500SERIES	12/06/2000	Standard	Transport	No
N817DN	31929	BOEING	737-932ER	Fixed Wing Multi-Engine	None	None	2014	Corporation	03/18/2014	03/31/2020	Turbo-fan	No	52621665	NO	CFM INTL	CFM56-7B27E	03/17/2014	Standard	Transport	Yes
N817NW	0843	AIRBUS	A330-323	Fixed Wing Multi-Engine	None	None	2007	Corporation	12/31/2009	05/31/2019	Turbo-fan	No	52622236	NO	P & W	PW4168A	06/07/2007	Standard	Transport	Yes
N817SK	15107	BOMBARDIER INC	CL-600-2D24	Fixed Wing Multi-Engine	None	None	2006	Corporation	03/22/2007	11/30/2019	Turbo-fan	No	52622367	NO	GE	CF34-8C5	03/22/2007	Standard	Transport	Yes
N817UA	0873	AIRBUS INDUSTRIE	A319-131	Fixed Wing Multi-Engine	None	None	1998	Corporation	04/01/2013	04/30/2019	Turbo-jet	No	52622440	NO	IAE	V2500SERIES	09/28/1998	Standard	Transport	No
N818AW	1375	AIRBUS INDUSTRIE	A319-132	Fixed Wing Multi-Engine	None	None	2000	Corporation	12/01/2004	02/28/2022	Turbo-jet	No	52623451	NO	IAE	V2500SERIES	12/06/2000	Standard	Transport	No
N818DA	31928	BOEING	737-932ER	Fixed Wing Multi-Engine	None	None	2014	Corporation	03/19/2014	03/31/2020	Turbo-fan	No	52623540	NO	CFM INTL	CFM56-7B27E	03/15/2014	Standard	Transport	Yes
N818NW	0857	AIRBUS	A330-323	Fixed Wing Multi-Engine	None	None	2007	Corporation	12/31/2009	05/31/2019	Turbo-fan	No	52624125	NO	P & W	PW4168A	08/02/2007	Standard	Transport	Yes
N818UA	0882	AIRBUS INDUSTRIE	A319-131	Fixed Wing Multi-Engine	None	None	1998	Corporation	04/01/2013	04/30/2019	Turbo-jet	No	52624327	NO	IAE	V2500SERIES	10/20/1998	Standard	Transport	No
N819AW	1395	AIRBUS INDUSTRIE	A319-132	Fixed Wing Multi-Engine	None	None	2000	Corporation	12/01/2004	02/28/2022	Turbo-jet	No	52625340	NO	IAE	V2500SERIES	02/12/2001	Standard	Transport	No
N819DN	31930	BOEING	737-932ER	Fixed Wing Multi-Engine	None	None	2014	Corporation	04/25/2014	04/30/2020	Turbo-fan	No	52625443	NO	CFM INTL	CFM56-7B27E	04/25/2014	Standard	Transport	Yes
N819NW	0858	AIRBUS	A330-323	Fixed Wing Multi-Engine	None	None	2007	Corporation	12/31/2009	05/31/2019	Turbo-fan	No	52626014	NO	P & W	PW4168A	09/06/2007	Standard	Transport	Yes
